id,title,year,date,venue,status,topic,type,primary_url,code_url,dataset_url,core_claim,method_or_benchmark,geo_relevance,relevance_tier,overlap_group,novelty_score,value_score,risk_notes,maintenance_priority
P001,"GEO: Generative Engine Optimization",2024,2024-06-28,"KDD 2024","peer reviewed","Foundational GEO","paper","https://arxiv.org/abs/2311.09735","https://github.com/GEO-optim/GEO","https://huggingface.co/datasets/GEO-optim/geo-bench","Formalizes GEO and GEO-Bench; reports visibility gains from content changes such as statistics, citations, and fluency.","Black-box content optimization plus benchmark","Direct origin of the field","core","O1_foundation_visibility",5,5,"Generation-stage evaluation; simplified candidate-source setting; tactics can be copied without measuring utility.","track"
P002,"C-SEO Bench: Does Conversational SEO Work?",2025,2025-10-20,"NeurIPS 2025 Datasets & Benchmarks","peer reviewed","Conversational SEO benchmark","paper+benchmark","https://arxiv.org/abs/2506.11097","https://github.com/parameterlab/c-seo-bench","https://huggingface.co/datasets/parameterlab/c-seo-bench","Evaluates C-SEO across tasks, domains, and multiple adopting actors; finds many current methods weak or harmful while retrieval/context rank remains important.","Benchmark for citation ranking and multi-actor adoption","Critical adjacent evidence for GEO limits","core","O2_benchmark_negative_results",5,5,"Negative result may conflict with vendor narratives; very important for avoiding over-optimization claims.","track"
P003,"What Generative Search Engines Like and How to Optimize Web Content Cooperatively",2026,2026-01-26,"ICLR 2026","peer reviewed","AutoGEO","paper+code+models","https://openreview.net/forum?id=K8EinVWtUB","https://github.com/cxcscmu/AutoGEO","https://huggingface.co/datasets/cx-cmu/GEO-Bench","Introduces AutoGEO: learns engine preference rules, rewrites documents, and balances visibility with generative engine utility.","Preference-rule extraction; AutoGEO_API; AutoGEO_Mini with RL","Direct next step after GEO-Bench","core","O1_foundation_visibility",5,5,"May overfit engine/domain rules; full-pipeline retrieval effects must be separately tested.","track"
P019,"From Experience to Skill: Multi-Agent Generative Engine Optimization via Reusable Strategy Learning",2026,2026-04-21,"ACL 2026 Findings","peer reviewed","MAGEO / reusable strategy learning","paper+code+benchmark","https://arxiv.org/abs/2604.19516","https://github.com/Wu-beining/MAGEO","","Reframes GEO as reusable strategy learning; introduces MAGEO, Twin Branch Evaluation Protocol, DSV-CF metric, and MSME-GEO-Bench.","Multi-agent planning, editing, fidelity-aware evaluation, hierarchical memory, and strategy distillation","Core contribution to multi-agent trustworthy GEO","core","O1_agentic_optimization",5,5,"New benchmark and metrics need independent reproduction; code appears research-grade and scoped to core method.","track"
P004,"CC-GSEO-Bench: A Content-Centric Benchmark for Measuring Source Influence in Generative Search Engines",2025,2025-12-26,"arXiv technical report","preprint","Source influence benchmark","paper+benchmark","https://arxiv.org/abs/2509.05607","https://github.com/qychen2001/CC-GSEO-Bench","","Moves beyond exposure to source influence: Exposure, Faithful Credit, Causal Impact plus document quality dimensions.","Content-centric benchmark with article-level aggregation","Important metric upgrade for GEO","core","O2_benchmark_influence",5,4,"LLM-judge design and offline simulation require validation against live engines.","track"
P005,"Role-Augmented Intent-Driven Generative Search Engine Optimization",2025,2026-03-18,"arXiv","preprint","Intent-driven GSEO","paper","https://arxiv.org/abs/2508.11158","","","Models search intent through role-augmented reflective refinement and extends GEO-style evaluation with query variation.","Intent and role-driven content enhancement","Relevant to query-intent expansion and content planning","adjacent","O1_foundation_visibility",3,3,"Likely overlaps with prompt-based rewriting and intent clustering; needs stronger comparison to AutoGEO/C-SEO.","watch"
P006,"Generative Engine Optimization: How to Dominate AI Search",2025,2025-09-10,"arXiv","preprint","Empirical AI search sourcing","paper","https://arxiv.org/abs/2509.08919","","","Compares AI search and Google across verticals, languages, and paraphrases; emphasizes earned media, scannability, and engine-specific strategy.","Large-scale comparative analysis","Useful practitioner bridge; less methodologically central than benchmark papers","adjacent","O4_strategy_empirical",3,3,"Strategic framing may overgeneralize; verify experimental details before product decisions.","watch"
P007,"SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization",2026,2026-02-12,"arXiv","work in progress","Full-pipeline SAGEO benchmark","paper+benchmark","https://arxiv.org/abs/2602.12187","","","Argues that existing GEO benchmarks abstract away retrieval and reranking; proposes realistic stage-level analysis over search-augmented generative engines.","End-to-end retrieval-reranking-generation evaluation","Very important because GEO failures often happen before generation","core","O2_benchmark_full_pipeline",5,5,"Work in progress; code availability not confirmed in this pass.","track"
P008,"Diagnosing and Repairing Citation Failures in Generative Engine Optimization",2026,2026-03-10,"arXiv","preprint","Citation failure diagnosis","paper","https://arxiv.org/abs/2603.09296","","","Introduces citation failure taxonomy and AgentGEO diagnostic repair workflow; targets citation rather than generic contribution.","Agent-based diagnosis and targeted repair","Directly addresses attribution and traffic-driving citation","core","O3_citation_attribution",5,5,"Agent loop can be costly; failure taxonomy should be tested across engines and languages.","track"
P009,"AgenticGEO: A Self-Evolving Agentic System for Generative Engine Optimization",2026,2026-03-02,"arXiv","preprint","Agentic GEO","paper+code","https://arxiv.org/abs/2603.20213","https://github.com/AIcling/agentic_geo","","Uses MAP-Elites strategy archive and co-evolving critic for content-conditioned strategy selection and multi-turn rewriting.","Self-evolving agentic content optimization","Directly relevant to adaptive GEO automation","core","O1_agentic_optimization",5,4,"May optimize against proxy feedback; needs robust live-engine and full-pipeline validation.","track"
